populacao,indice_renda_per_capta,porcentagem_nivel_basico,porcentagem_sem_nivel_medio,porcentagem_com_nivel_superior,porcentagem_desempregados,porcentagem_de_roubos_a_cada_100_mil
10005,10086,13.46,33.24,14.5,8.15,323.88
10014,9106,12.71,27.6,29.64,5.68,37.69
10019,9066,21.54,40.94,11.42,8.68,153.23
10023,13246,3.65,7.89,21.17,4.38,35.83
10026,10376,23.98,49.73,8.74,11.64,370.24
10030,15128,14.96,25.05,16.09,2.36,9.13
10033,9112,25.45,46.07,3.49,8.29,67.22
10033,10354,16.01,33.47,15.48,3.75,56.75
10034,8342,6.81,13.14,44.25,6.8,9.53
10040,9729,11.14,28.09,11.72,10.06,26.66
10066,9005,12.88,29.49,16.82,12.35,165.81
10069,12320,6.58,18,16.36,06.09,28.93
10074,17316,5.78,22.53,17.99,3.2,18.94
10084,21428,4.96,14.97,36.73,4.8,962.32
10092,40584,1.52,04.07,62.14,2.86,39.2
10104,11241,10.09,24.69,15.47,12.11,19.05
10129,10034,6.54,27.29,9.56,7.93,192.17
10130,11981,10.41,25.24,12.26,5.25,19.08
10132,21549,3.84,12.67,33.71,4.82,38.67
10145,11526,8.53,23.66,13.38,08.04,9.54
10152,14147,04.04,14.44,19.07,3.65,81.89
10170,9190,8.13,17.41,36.12,4.36,14.51
10177,17940,17.12,31.91,16.47,3.91,57.52
10191,15806,6.53,21.5,18.84,5.55,9.42
10201,7989,17.41,40.75,8.97,11.85,646.84
10205,12165,07.04,26.53,9.91,5.66,8.5
10227,13514,7.99,18.98,21.38,3.6,17.71
10241,14731,11.36,21.34,14.48,4.21,28.21
10266,15313,11.03,25.29,14.33,4.46,95.17
10275,15020,03.07,12.19,26,8.97,45.9
10283,9761,11.53,25.19,30.04,7.84,54.18
10322,9559,26.95,52.39,9.22,6.47,299.15
10332,15242,6.13,20.82,16.28,4.96,71.76
10353,14172,2.62,11.55,30.52,3.57,146.39
10362,10189,9.71,22.38,13.15,4.52,9.47
10378,28696,5.74,14.88,27.58,4.36,75.19
10380,10595,15.03,34.2,13.58,7.43,9.65
10398,9884,13.52,24.6,29.54,9.79,69.73
10401,13984,11.12,23.11,18.18,8.25,120.4
