POPULACAO,RENDA,SEM_BASICO,SEM_MEDIO,COM_SUPERIOR,DESEMPREGADOS,VIOLENTOS,N_VIOLENTOS,CRIMES
10005,10086,13.46,33.24,14.5,8.15,2119.93,13023.85,15143.78
10014,9106,12.71,27.6,29.64,5.68,47.11,2911.52,2958.63
10019,9066,21.54,40.94,11.42,8.68,1522.7,5420.42,6943.12
10023,13246,3.65,7.89,21.17,4.38,259.79,3878.89,4138.68
10026,10376,23.98,49.73,8.74,11.64,1334.6,12493.54,13828.14
10030,15128,14.96,25.05,16.09,2.36,246.55,2100.26,2346.81
10033,9112,25.45,46.07,3.49,8.29,499.33,2669.48,3168.81
10033,10354,16.01,33.47,15.48,3.75,397.28,4048.43,4445.71
10034,8342,6.81,13.14,44.25,6.8,76.24,2639.86,2716.1
10040,9729,11.14,28.09,11.72,10.06,177.73,5936.19,6113.92
10069,12320,6.58,18,16.36,06.09,298.97,5111.39,5410.36
10074,17316,5.78,22.53,17.99,3.2,170.42,4004.92,4175.34
10084,21428,4.96,14.97,36.73,4.8,1425.33,9568.77,10994.1
10129,10034,6.54,27.29,9.56,7.93,602.73,14142.21,14744.94
10145,11526,8.53,23.66,13.38,08.04,152.6,2784.93,2937.53
10152,14147,04.04,14.44,19.07,3.65,282.07,5050.05,5332.12
10170,9190,8.13,17.41,36.12,4.36,137.89,2590.9,2728.79
10177,17940,17.12,31.91,16.47,3.91,182.15,4908.45,5090.6
10191,15806,6.53,21.5,18.84,5.55,310.85,1318.76,1629.61
10201,7989,17.41,40.75,8.97,11.85,2650.26,16233.94,18884.2
10205,12165,07.04,26.53,9.91,5.66,339.96,3739.59,4079.55
10227,13514,7.99,18.98,21.38,3.6,79.71,4941.99,5021.7
10241,14731,11.36,21.34,14.48,4.21,84.64,3348.07,3432.71
10266,15313,11.03,25.29,14.33,4.46,295.04,2217.57,2512.61
10275,15020,03.07,12.19,26,8.97,358,2717.09,3075.09
10283,9761,11.53,25.19,30.04,7.84,460.5,3033.86,3494.36
10322,9559,26.95,52.39,9.22,6.47,1329.57,5675.59,7005.16
10332,15242,6.13,20.82,16.28,4.96,125.57,3264.87,3390.44
10353,14172,2.62,11.55,30.52,3.57,603.84,7721.87,8325.71
10362,10189,9.71,22.38,13.15,4.52,161.02,4328.47,4489.49
10378,28696,5.74,14.88,27.58,4.36,178.57,3890.98,4069.55
10380,10595,15.03,34.2,13.58,7.43,241.31,4662.16,4903.47
10398,9884,13.52,24.6,29.54,9.79,278.92,5308.11,5587.03
10401,13984,11.12,23.11,18.18,8.25,395.6,5288.96,5684.56
10404,17028,7.23,20.85,31.07,5.49,1759,10952.94,12711.94
10405,11911,15.08,37.82,8.51,8.35,840.18,4256.3,5096.48
10415,16531,9.61,23.43,19.86,6.65,645.16,1004.61,1649.77
10420,12822,18.34,34.62,13.1,6.84,578.26,7305.32,7883.58
10422,25409,5.68,11.35,41.55,02.03,84.96,2473.33,2558.29
10426,12163,13.15,33.76,12.99,3.16,1082.77,5100.67,6183.44
10428,10511,13.15,33.01,12.64,8.24,234.68,4881.25,5115.93
10433,15307,3.42,15.5,18.85,2.43,190.21,2675.63,2865.84
10444,12564,7.88,23.12,13.14,3.74,90.65,2085.03,2175.68
10446,20951,7.27,17.02,29.15,3.65,86.9,2056.58,2143.48
10448,21799,6.38,14.65,40.8,4.17,749.31,12349.43,13098.74
10453,12464,10.83,25,16.09,1.93,393.26,4719.16,5112.42
10464,11543,15.48,38.02,15.86,8.71,1724.14,12666.44,14390.58
10486,20529,5.83,13.65,36.96,4.58,394.21,3168,3562.21
10497,16298,12.67,28.52,20.77,6.22,535.75,1995.2,2530.95
10507,13742,5.11,14.19,22.41,5.82,190.95,1992.53,2183.48
10511,11174,22.7,40.64,12.4,8.12,622.29,5921.18,6543.47
10513,11784,14.76,35.01,11.45,7.56,919.02,9190.17,10109.19
10531,26103,1.99,6.77,49.08,4.2,27.66,1069.52,1097.18
10542,9397,18.7,39.06,14.77,9.13,1527.29,5317.24,6844.53
10555,12944,8.56,19.62,15.23,5.62,278.38,2938.45,3216.83
10567,16201,12.84,27.73,9.28,4.13,132.87,1992.98,2125.85
10588,11899,10.97,28.8,15.67,4.18,1889.44,11105.61,12995.05
10592,18111,5.22,15.03,26.43,4.14,377.36,4293.5,4670.86
10600,16945,6.74,18.67,22.01,4.77,194.82,5445.77,5640.59
10602,42951,0.63,3.55,71.2,1.61,137.47,3909.27,4046.74
10603,23059,5.34,13.63,39.14,2.93,82.15,1579.19,1661.34
10610,10474,18.77,35.28,12.06,07.07,292.57,4848.28,5140.85
10621,17310,6.65,17.83,23.2,3.59,280.93,11021.63,11302.56
10636,19091,10.96,23.97,28.04,6.12,458.81,6696.6,7155.41
10637,13164,09.07,21.74,20.9,6.62,407.12,3739.82,4146.94
10639,13889,9.47,27.44,17.3,6.97,1444.58,6982.13,8426.71
10678,10317,18.42,38.5,9.74,7.12,173.77,2999.82,3173.59
10683,9053,13.62,27.47,19.7,11.22,597.12,6218.54,6815.66
10687,8025,12.87,33.44,09.01,12.86,456.87,1702.05,2158.92
10690,8375,18.62,38.26,21.1,9.67,295.76,3469.22,3764.98
10701,11723,12.14,38.35,7.55,5.25,519.3,4102.48,4621.78
10704,13273,16.88,25.05,14.01,3.64,507.39,3927.92,4435.31
10712,9291,18.01,40.25,15.17,6.76,985.78,7781.56,8767.34
10725,14253,7.69,20.35,21.69,6.87,89.41,3111.59,3201
10733,14935,17.83,38.64,15.3,7.65,310.65,2776.99,3087.64
10733,10109,31.9,43.59,14.98,5.82,566.36,4399.57,4965.93
10742,13945,4.55,18.18,18.58,4.72,73.23,421.09,494.32
10742,15452,10.61,26.45,21.7,6.58,669.13,4520.89,5190.02
10747,22482,4.66,15.38,25.46,3.93,415.11,3418.53,3833.64
10747,10873,13.23,30.57,12.3,5.41,134.43,3826.85,3961.28
10753,10048,14.37,35.59,8.71,9.34,36.91,3617.57,3654.48
10762,24947,2.85,08.03,39.91,2.43,138.54,1359.43,1497.97
10793,16048,9.24,22.79,16.17,3.91,243.53,3616.85,3860.38
10815,6014,46.88,59.32,7.27,13.29,307.42,4978.63,5286.05
10823,13290,6.93,18.96,16.12,4.62,237.1,1602.81,1839.91
10828,16521,14.73,30.42,15.79,08.03,47.43,2921.92,2969.35
10830,31664,3.41,10.09,43.21,4.11,85.9,2010.14,2096.04
10836,13997,11.55,25.51,16.96,5.99,462.24,5956.91,6419.15
10862,15599,6.7,18.05,20.94,4.53,27.11,2683.9,2711.01
10864,9041,21.83,44.05,14.28,11.23,2333.62,7839.24,10172.86
10883,27754,1.64,06.02,53.23,2.24,78.88,1507.45,1586.33
10886,9924,19.38,35.51,10.78,9.97,1240.65,5319.51,6560.16
10903,12623,4.42,14,16.2,4.73,272.91,5061.2,5334.11
10904,13842,9.76,27.39,20.06,8.18,517.6,5458.31,5975.91
10922,14227,18.74,33.85,11.63,05.01,339.73,4416.49,4756.22
10923,16148,6.31,14.77,15.31,3.32,83.09,2908.18,2991.27
10935,12014,11.18,33.24,5.64,6.4,267.96,4295.96,4563.92
10940,14605,7.1,20.26,15.33,3.36,131.59,2851.13,2982.72
10941,9558,24.08,45.68,10.86,9.28,1313.59,9503.66,10817.25
10946,18940,2.88,12.4,26.84,4.24,316.75,5624.52,5941.27
10950,10113,9.34,27.85,9.35,10.38,650.49,9215.24,9865.73
10967,10766,17.88,34.91,15.65,9,1300.88,4699.12,6000
10968,14633,8.12,23.7,17.85,3.47,30.66,5180.87,5211.53
10970,7801,25.54,44.6,11.27,17.4,541.85,5791.9,6333.75
10976,10246,12.7,33.09,6.3,9.13,82.95,1539.17,1622.12
10982,21036,12.56,25.64,21.07,4.19,236.22,4050.74,4286.96
10988,11602,15.15,30.9,12.48,6.44,178.97,3319.91,3498.88
10993,14331,6.25,15.88,21.05,2.46,168.48,2822,2990.48
11005,16930,5.46,15.64,29.42,2.91,355.9,1491.4,1847.3
11005,19038,5.66,20.55,15.4,3.35,313.48,5919.23,6232.71
11026,10566,18.36,39.42,6.47,8.17,235.07,4762.32,4997.39
11037,12277,15.56,35.31,15.8,4.44,1264.79,5996.36,7261.15
11038,10570,9.82,32.4,10,6.87,1054.23,4301.26,5355.49
11041,15469,4.96,17.16,16.29,7.67,219.86,2682.26,2902.12
11066,12644,12.08,27.01,17.73,07.02,1045.45,10860.55,11906
11069,12279,10.45,36.55,5.3,11.03,635.43,1914.77,2550.2
11077,15611,4.65,14.33,34.1,3.52,214.53,1126.26,1340.79
11096,13772,5.46,11.77,56.99,5.77,358.97,4549.94,4908.91
11104,15056,3.42,16.79,16.18,7.25,321.82,2879.4,3201.22
11114,14266,2.53,9.5,34.85,3.57,827.68,6243.31,7070.99
11127,14710,5.48,19.1,16.87,4.74,70.08,2531.53,2601.61
11151,12491,5.53,15.96,14.57,3.92,145.47,2802.24,2947.71
11151,10230,13.12,31.03,17.82,6.84,478.35,2618.33,3096.68
11157,16211,10.87,23.81,18.82,4.85,139.73,2885.09,3024.82
11162,7635,23.94,44.84,10.82,13.93,1487.34,4722.97,6210.31
11163,13928,10.33,26.53,16.5,4.88,1292.78,7813.69,9106.47
11194,9752,24.59,45.4,9.82,07.05,1000.98,6331.38,7332.36
11199,12299,8.48,22.29,17.38,6.61,421.76,4484.42,4906.18
11207,21610,5.78,16.3,30.35,2.8,70.19,3272.79,3342.98
